Depth (m),Litho (Euc),Calcarenite (%),Calcilutite (%),Fine Sand (%),Claystone (%),Sandstone (%),Argillaceous Siltstone (%),Calcareous Claystone (%),Silty Claystone (%),Argillaceous Sandstone (%),Dolomitic Calcarenite (%),Argillaceous Calcilutite (%)
2800,Claystone,-999.25,-999.25,-999.25,99,1,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2810,Claystone,-999.25,-999.25,-999.25,99,1,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2820,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2830,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2840,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2850,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2860,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2870,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2880,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2890,Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2900,Silty Claystone,-999.25,-999.25,-999.25,95,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
2910,Silty Claystone,-999.25,-999.25,-999.25,-999.25,1,-999.25,-999.25,99,-999.25,-999.25,-999.25
2920,Silty Claystone,-999.25,-999.25,-999.25,-999.25,1,-999.25,-999.25,99,-999.25,-999.25,-999.25
2930,Silty Claystone,-999.25,-999.25,-999.25,-999.25,1,-999.25,-999.25,99,-999.25,-999.25,-999.25
2940,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,1,-999.25,-999.25,99,-999.25,-999.25,-999.25
2950,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70,30,-999.25,-999.25
2960,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70,30,-999.25,-999.25
2970,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70,30,-999.25,-999.25
2980,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70,30,-999.25,-999.25
2990,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,60,40,-999.25,-999.25
3000,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,60,40,-999.25,-999.25
3010,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,90,-999.25,-999.25
3020,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,90,-999.25,-999.25
3040,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,90,-999.25,-999.25
3060,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,4,96,-999.25,-999.25
3080,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,90,-999.25,-999.25
3100,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,90,-999.25,-999.25
3120,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,15,85,-999.25,-999.25
3140,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,10,90,-999.25,-999.25
3160,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,5,95,-999.25,-999.25
3180,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,15,75,-999.25,-999.25
3200,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,15,-999.25,20,65,-999.25,-999.25
3220,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,5,-999.25,25,70,-999.25,-999.25
3240,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,20,80,-999.25,-999.25
3260,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,20,80,-999.25,-999.25
3280,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,20,80,-999.25,-999.25
3290,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,30,70,-999.25,-999.25
3300,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,25,75,-999.25,-999.25
3310,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,-999.25,90,-999.25,-999.25
3320,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,-999.25,5,-999.25,-999.25,95,-999.25,-999.25
3330,Argillaceous Sandstone,-999.25,-999.25,-999.25,5,5,90,-999.25,-999.25,-999.25,-999.25,-999.25
3340,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25
3350,Sandstone,-999.25,-999.25,-999.25,-999.25,80,-999.25,-999.25,-999.25,20,-999.25,-999.25
3360,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,80,-999.25,-999.25,-999.25,20,-999.25,-999.25
3370,Sandstone,-999.25,-999.25,-999.25,-999.25,80,-999.25,-999.25,-999.25,20,-999.25,-999.25
3380,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,80,-999.25,-999.25,-999.25,20,-999.25,-999.25
3390,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,30,70,-999.25,-999.25
3400,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,30,70,-999.25,-999.25
3410,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,40,60,-999.25,-999.25
3420,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,85,15,-999.25,-999.25
3430,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90,10,-999.25,-999.25
3440,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90,10,-999.25,-999.25
3450,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,5,-999.25,-999.25,80,15,-999.25,-999.25
3460,Silty Claystone,-999.25,-999.25,-999.25,-999.25,1,-999.25,-999.25,80,19,-999.25,-999.25
3470,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,85,15,-999.25,-999.25
3480,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90,10,-999.25,-999.25
3490,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,85,15,-999.25,-999.25
3500,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,80,20,-999.25,-999.25
3510,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,50,-999.25,40,10,-999.25,-999.25
3520,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,40,-999.25,30,30,-999.25,-999.25
3530,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,50,-999.25,40,10,-999.25,-999.25
